timestamp, q0, q1, q2, q3
1540674787220, 0.865295, -0.026367, 0.015686, 0.502869
1540674787221, 0.865295, -0.026367, 0.015686, 0.500183
1540674787282, 0.866028, -0.026367, 0.015686, 0.500183
1540674787282, 0.866028, -0.022522, 0.015686, 0.500183
1540674787283, 0.866028, -0.022522, 0.012695, 0.500183
1540674787283, 0.866028, -0.022522, 0.012695, 0.499207
1540674787310, 0.865906, -0.022522, 0.012695, 0.499207
1540674787310, 0.865906, -0.023865, 0.012695, 0.499207
1540674787310, 0.865906, -0.023865, 0.014160, 0.499207
1540674787313, 0.865906, -0.023865, 0.014160, 0.499329
1540674787370, 0.865906, -0.023865, 0.014160, 0.499329
1540674787370, 0.865906, -0.026489, 0.014160, 0.499329
1540674787371, 0.865906, -0.026489, 0.013672, 0.499329
1540674787371, 0.865906, -0.026489, 0.013672, 0.499268
1540674787430, 0.866150, -0.026489, 0.013672, 0.499268
1540674787431, 0.866150, -0.024109, 0.013672, 0.499268
1540674787432, 0.866150, -0.024109, 0.014709, 0.499268
1540674787432, 0.866150, -0.024109, 0.014709, 0.498901
1540674787490, 0.866211, -0.024109, 0.014709, 0.498901
1540674787490, 0.866211, -0.023438, 0.014709, 0.498901
1540674787491, 0.866211, -0.023438, 0.014343, 0.498901
1540674787492, 0.866211, -0.023438, 0.014343, 0.498901
1540674787586, 0.866089, -0.023438, 0.014343, 0.498901
1540674787610, 0.866089, -0.023438, 0.014343, 0.498901
1540674787617, 0.866089, -0.023438, 0.014709, 0.498901
1540674787618, 0.866089, -0.023438, 0.014709, 0.499084
1540674787621, 0.866028, -0.023438, 0.014709, 0.499084
1540674787621, 0.866028, -0.024353, 0.014709, 0.499084
1540674787641, 0.866150, -0.024353, 0.014709, 0.499084
1540674787641, 0.866150, -0.024414, 0.014709, 0.499084
1540674787642, 0.866150, -0.024414, 0.014404, 0.499084
1540674787642, 0.866150, -0.024414, 0.014404, 0.498901
1540674787701, 0.866211, -0.024414, 0.014404, 0.498901
1540674787702, 0.866211, -0.024597, 0.014404, 0.498901
1540674787703, 0.866211, -0.024597, 0.013428, 0.498901
1540674787704, 0.866211, -0.024597, 0.013428, 0.498779
1540674787761, 0.866272, -0.024597, 0.013428, 0.498779
1540674787762, 0.866272, -0.025391, 0.013428, 0.498779
1540674787763, 0.866272, -0.025391, 0.012634, 0.498779
1540674787764, 0.866272, -0.025391, 0.012634, 0.498718
1540674787822, 0.866272, -0.025391, 0.012634, 0.498718
